,p(d),P(d),r(d),L(d),1/L(d),H(d),h(d),r_
0.62,0.1338875150464623,2.492764827464284,1.9572581877652975,3.5671746765869923,0.2803339030643663,7.468956307486738,2.093801673494974,1
0.625,0.13355321430888306,2.4865406987981893,1.9442531979794084,3.5910352880967014,0.2784712261989533,7.487652058206485,2.0850956499998765,1
0.63,0.133219748279328,2.480332111019556,1.9313346197668046,3.615055501765888,0.2766209258783215,7.50639460677597,2.076425826134408,1
0.635,0.13288711487363336,2.4741390253246913,1.9185018789663286,3.639236385163558,0.2747829198665964,7.525184070336182,2.067792051380575,1
0.64,0.13255531201283924,2.467961403006788,1.9057544052318323,3.6635790129996213,0.2729571264743194,7.544020566321329,2.0591941758462378,1
0.645,0.1322243376231767,2.4617992054556876,1.8930916320068287,3.6880844671726543,0.2711434645548171,7.562904212459574,2.050632050262509,1
0.65,0.13189418963605473,2.455652394157635,1.8805129964993126,3.7127538368179875,0.26934185350059436,7.581835126773765,2.0421055259811594,1
0.655,0.1315648659880473,2.4495209306950394,1.8680179396567465,3.737588218356112,0.2675522132397522,7.600813427582179,2.033614454972039,1
0.66,0.1312363646208806,2.443404776746234,1.8556059061412136,3.7625887155414057,0.2657744642324289,7.619839233499259,2.025158689820507,1
0.665,0.13090868348141996,2.4373038940852374,1.843276344304737,3.787756439511191,0.26400852746726494,7.638912663436352,2.0167380837248743,1
0.67,0.1305818205216572,2.4312182445815127,1.8310287061647614,3.813092508835122,0.26225432445789104,7.658033836602457,2.008352490493849,1
0.675,0.1302557736986978,2.425147790199731,1.8188624473797972,3.838598049564892,0.2605117772394405,7.677202872504969,2.0000017645440074,1
0.68,0.12993054097474802,2.419092492999532,1.8067770272252293,3.8642741952842914,0.2587808083650831,7.696419890950426,1.991685760897256,1
0.685,0.12960612031710228,2.413052315135289,1.7947719085692837,3.890122087159576,0.2570613409025842,7.715685012045254,1.9834043351783244,1
0.6900000000000001,0.12928250969813043,2.407027218855871,1.782846557849155,3.916142873990194,0.2553532984308846,7.734998356196524,1.9751573436122527,1
0.6950000000000001,0.12895970709526502,2.4010171665044058,1.771000445047293,3.9423377122598464,0.25365660503670423,7.7543600441126985,1.966944643021895,1
0.7000000000000001,0.12863771049098877,2.3950221205180475,1.759233043667845,3.9687077661878774,0.2519711853111687,7.773770196804391,1.9587660908254396,1
0.705,0.12831651787282178,2.3890420434277377,1.7475438307132574,3.995254207781028,0.25029696434645693,7.7932289355851205,1.9506215450339255,1
0.71,0.12799612723330925,2.3830768978579777,1.73593228666103,4.021978216885509,0.24863386773247317,7.812736382072063,1.9425108642487863,1
0.715,0.12767653657000855,2.3771266465265857,1.724397895440627,4.048880981239465,0.24698182155353812,7.832292658186828,1.9344339076593862,1
0.72,0.12735774388547702,2.3711912522444725,1.7129401444105399,4.075963696525739,0.24534075238510533,7.851897886156202,1.9263905350405808,1
0.725,0.12703974718725936,2.3652706779154045,1.7015585243355036,4.103227566425021,0.24371058729049733,7.871552188512925,1.9183806067502844,1
0.73,0.12672254448787518,2.359364886535774,1.6902525293638635,4.130673802669349,0.24209125381766386,7.891255688096447,1.9104039837270406,1
0.735,0.12640613380480653,2.353473841194363,1.6790216570050929,4.158303625095967,0.24048267999596148,7.911008508053709,1.9024605274876087,1
0.74,0.12609051316048567,2.347597505072122,1.6678654081074609,4.186118261701528,0.23888479433295584,7.930810771839897,1.8945501001245646,1
0.745,0.12577568058228247,2.3417358414419285,1.6567832868358463,4.214118948696686,0.237297525811243,7.950662603219228,1.8866725643038993,1
0.75,0.12546163410249236,2.3358888136683675,1.6457748006497022,4.242306930561022,0.2357208038852944,7.970564126265708,1.8788277832626419,1
0.755,0.1251483717583238,2.3300563852074956,1.6348394602811631,4.270683460098374,0.2341545584783203,7.990515465363924,1.8710156208064799,1
0.76,0.1248358915918861,2.3242385196066158,1.623976779713302,4.299249798492502,0.23259871997915593,8.01051674520981,1.863235941307396,1
0.765,0.12452419165017724,2.31843518050405,1.6131862761585276,4.328007215363147,0.23105321923916747,8.030568090811427,1.8554886097013152,1
0.77,0.12421326998507153,2.3126463316289088,1.602467470037128,4.356956988822463,0.2295179875691786,8.050669627489754,1.847773491485757,1
0.775,0.12390312465330755,2.306871936800868,1.5918198849559555,4.386100405531811,0.2279929567364181,8.07082148087946,1.8400904527175044,1
0.78,0.12359375371647599,2.3011119599299423,1.5812430476872539,4.415438760758953,0.22647805896148673,8.091023776929694,1.8324393600102742,1
0.785,0.1232851552410075,2.295366365016257,1.5707364881476256,4.444973358435617,0.22497322691534516,8.11127664190487,1.8248200805324035,1
0.79,0.12297732729816059,2.2896351161498245,1.5602997393771394,4.47470551121545,0.22347839371632153,8.131580202385463,1.8172324820045438,1
0.795,0.1226702679640096,2.283918177510321,1.5499323375185765,4.504636540532361,0.22199349292713844,8.15193458526879,1.8096764326973624,1
0.8,0.1223639753194327,2.278215513366862,1.5396338217968144,4.534767776659243,0.2205184585519611,8.172339917769813,1.8021518014292595,1
0.805,0.12205844745009986,2.2725270880777773,1.529403734498348,4.565100558767111,0.21905322503346308,8.192796327421924,1.7946584575640845,1
0.81,0.12175368244646091,2.2668528660903906,1.5192416209509467,4.595636234984604,0.21759772724991366,8.21330394207775,1.7871962710088751,1
0.8150000000000001,0.1214496784037336,2.2611928119407962,1.5091470295034468,4.626376162457913,0.2161519005122829,8.23386288990995,1.7797651122115936,1
0.8200000000000001,0.12114643342189164,2.2555468902536373,1.4991195115056777,4.657321707411097,0.21471568056136667,8.254473299412016,1.7723648521588808,1
0.8250000000000001,0.12084394560565292,2.249915065741884,1.4891586212885224,4.688474245206808,0.21328900356493055,8.275135299399073,1.7649953623738117,1
0.8300000000000001,0.12054221306446762,2.2442973032066162,1.4792639161441092,4.7198351604074045,0.2118718061148734,8.295849019008688,1.7576565149136716,1
